1800;1770;150;1180;650;1700;960;690;1470;230;350;1170;80;1040;380;920;580;1660;1190;670
610;820;1640;1760;1940;310;1550;1540;780;1900;1100;1330;1230;990;1110;1680;1130;590;250;1260
940;1210;770;1120;330;1060;1730;50;120;1990;1460;550;1560;1690;1450;1570;750;20;390;970
1880;470;570;800;1830;270;900;720;1050;400;530;660;1750;170;440;210;200;950;420;1430
90;1300;1360;410;930;240;600;1820;1810;1160;1920;70;1140;290;1010;300;1710;110;1780;1720
1270;620;460;730;480;1350;510;430;870;1790;1510;880;1410;1840;700;30;1090;490;320;10
1240;760;190;980;220;1870;560;1650;2000;1310;1960;100;340;790;260;1740;1400;1950;450;1890
1030;1070;890;1220;840;1970;1910;850;1590;910;1200;710;1150;370;280;740;1600;1440;540;1380
1020;1610;1630;1860;1370;140;1480;1420;1340;180;680;1580;1530;1520;860;1320;1620;1930;60;1080
1500;1390;640;360;1670;160;40;830;130;1250;1290;1980;810;630;1490;1280;520;1000;1850;500
